id,method,path,category,description,parameters
POST__api_activities_assign,POST,/api/activities/assign,activities,API endpoint,"[{""name"": ""https"", ""description"": ""//api-preprod.fleethand.com Please contact your sales manager to"", ""type"": ""string"", ""required"": false}, {""name"": ""key"", ""description"": ""Please contact your sales manager to"", ""type"": ""string"", ""required"": false}, {""name"": ""id"", ""description"": ""Please contact your sales manager to"", ""type"": ""string"", ""required"": false}]"
POST__api_activities,POST,/api/activities,activities,API endpoint,[]
GET__api_activities,GET,/api/activities,activities,activities:,[]
GET__api_activities_activity,GET,/api/activities/activity,activities,largestActivityId,[]
GET__api_activities_file-pdf,GET,/api/activities/file-pdf,activities,API endpoint,[]
POST__api_activities_files,POST,/api/activities/files,activities,API endpoint,[]
GET__api_country-change_crossings,GET,/api/country-change/crossings,general,API endpoint,"[{""name"": ""2020"", ""description"": ""01-08T11:17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-09T11:17:20Z)."", ""type"": ""string"", ""required"": false}]"
GET__api_country-change,GET,/api/country-change,general,API endpoint,"[{""name"": ""2020"", ""description"": ""01-08T11:17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-09T11:17:20Z)."", ""type"": ""string"", ""required"": false}]"
PUT__api_ddd_cancel-driver,PUT,/api/ddd/cancel-driver,drivers,API endpoint,[]
PUT__api_ddd_cancel-vehicle,PUT,/api/ddd/cancel-vehicle,vehicles,API endpoint,[]
GET__api_ddd_driver-file_download,GET,/api/ddd/driver-file/download,drivers,API endpoint,[]
GET__api_ddd_vehicle-file_download,GET,/api/ddd/vehicle-file/download,vehicles,API endpoint,[]
GET__api_ddd_cards,GET,/api/ddd/cards,general,API endpoint,[]
GET__api_ddd_companies,GET,/api/ddd/companies,general,API endpoint,"[{""name"": ""month"", ""description"": ""JANUARY, FEBRUARY, MARCH, APRIL,"", ""type"": ""string"", ""required"": false}]"
GET__api_ddd_info,GET,/api/ddd/info,general,API endpoint,"[{""name"": ""month"", ""description"": ""JANUARY, FEBRUARY, MARCH, APRIL,"", ""type"": ""string"", ""required"": false}]"
GET__api_ddd_drivers-status,GET,/api/ddd/drivers-status,drivers,API endpoint,"[{""name"": ""month"", ""description"": ""JANUARY, FEBRUARY, MARCH, APRIL,"", ""type"": ""string"", ""required"": false}]"
GET__api_ddd_vehicles-status,GET,/api/ddd/vehicles-status,vehicles,API endpoint,"[{""name"": ""month"", ""description"": ""JANUARY, FEBRUARY, MARCH, APRIL,"", ""type"": ""string"", ""required"": false}]"
